A,Health Care Equipment
AAL,Airlines
AAP,Automotive Retail
AAPL,"Technology Hardware, Storage & Peripherals"
ABBV,Pharmaceuticals
ABC,Health Care Distributors
ABT,Health Care Equipment
ACN,IT Consulting & Other Services
ADBE,Application Software
ADI,Semiconductors
ADM,Agricultural Products
ADP,Internet Software & Services
ADS,Data Processing & Outsourced Services
ADSK,Application Software
AEE,Multi-Utilities
AEP,Electric Utilities
AES,Independent Power Producers & Energy Traders
AET,Managed Health Care
AFL,Life & Health Insurance
AGN,Pharmaceuticals
AIG,Property & Casualty Insurance
AIV,Residential REITs
AIZ,Multi-line Insurance
AJG,Insurance Brokers
AKAM,Internet Software & Services
ALB,Specialty Chemicals
ALGN,Health Care Supplies
ALK,Airlines
ALL,Property & Casualty Insurance
ALLE,Building Products
ALXN,Biotechnology
AMAT,Semiconductor Equipment
AMD,Semiconductors
AME,Electrical Components & Equipment
AMG,Asset Management & Custody Banks
AMGN,Biotechnology
AMP,Asset Management & Custody Banks
AMT,Specialized REITs
AMZN,Internet & Direct Marketing Retail
AN,Specialty Stores
ANSS,Application Software
ANTM,Managed Health Care
AON,Insurance Brokers
APA,Oil & Gas Exploration & Production
APC,Oil & Gas Exploration & Production
APD,Industrial Gases
APH,Electronic Components
ARE,Office REITs
ARNC,Aerospace & Defense
ATVI,Home Entertainment Software
AVB,Residential REITs
AVGO,Semiconductors
AVY,Paper Packaging
AWK,Water Utilities
AXP,Consumer Finance
AYI,Electrical Components & Equipment
AZO,Specialty Stores
BA,Aerospace & Defense
BAC,Diversified Banks
BAX,Health Care Equipment
BBBY,Specialty Stores
BBT,Regional Banks
BBY,Computer & Electronics Retail
BCR,Health Care Equipment
BDX,Health Care Equipment
BEN,Asset Management & Custody Banks
BF.B,Distillers & Vintners
BHI,Oil & Gas Equipment & Services
BIIB,Biotechnology
BK,Asset Management & Custody Banks
BLK,Asset Management & Custody Banks
BLL,Metal & Glass Containers
BMY,Health Care Distributors
BRK.B,Multi-Sector Holdings
BSX,Health Care Equipment
BWA,Auto Parts & Equipment
BXP,Office REITs
C,Diversified Banks
CA,Systems Software
CAG,Packaged Foods & Meats
CAH,Health Care Distributors
CAT,Construction Machinery & Heavy Trucks
CB,Property & Casualty Insurance
CBG,Real Estate Services
CBOE,Financial Exchanges & Data
CBS,Broadcasting
CCI,Specialized REITs
CCL,"Hotels, Resorts & Cruise Lines"
CELG,Biotechnology
CERN,Health Care Technology
CF,Fertilizers & Agricultural Chemicals
CFG,Regional Banks
CHD,Household Products
CHK,Oil & Gas Exploration & Production
CHRW,Air Freight & Logistics
CHTR,Cable & Satellite
CI,Managed Health Care
CINF,Property & Casualty Insurance
CL,Household Products
CLX,Household Products
CMA,Diversified Banks
CMCSA,Cable & Satellite
CME,Financial Exchanges & Data
CMG,Restaurants
CMI,Industrial Machinery
CMS,Multi-Utilities
CNC,Managed Health Care
CNP,Multi-Utilities
COF,Consumer Finance
COG,Oil & Gas Exploration & Production
COH,"Apparel, Accessories & Luxury Goods"
COL,Aerospace & Defense
COO,Health Care Supplies
COP,Oil & Gas Exploration & Production
COST,Hypermarkets & Super Centers
COTY,Personal Products
CPB,Packaged Foods & Meats
CRM,Internet Software & Services
CSCO,Communications Equipment
CSRA,IT Consulting & Other Services
CSX,Railroads
CTAS,Diversified Support Services
CTL,Integrated Telecommunication Services
CTSH,IT Consulting & Other Services
CTXS,Internet Software & Services
CVS,Drug Retail
CVX,Integrated Oil & Gas
CXO,Oil & Gas Exploration & Production
D,Electric Utilities
DAL,Airlines
DD,Diversified Chemicals
DE,Agricultural & Farm Machinery
DFS,Consumer Finance
DG,General Merchandise Stores
DGX,Health Care Services
DHI,Homebuilding
DHR,Health Care Equipment
DIS,Cable & Satellite
DISCA,Cable & Satellite
DISCK,Cable & Satellite
DISH,Cable & Satellite
DLPH,Auto Parts & Equipment
DLR,Specialized REITs
DLTR,General Merchandise Stores
DOV,Industrial Machinery
DOW,Diversified Chemicals
DPS,Soft Drinks
DRI,Restaurants
DTE,Multi-Utilities
DUK,Electric Utilities
DVA,Health Care Facilities
DVN,Oil & Gas Exploration & Production
DXC,IT Consulting & Other Services
EA,Home Entertainment Software
EBAY,Internet Software & Services
ECL,Specialty Chemicals
ED,Electric Utilities
EFX,Research & Consulting Services
EIX,Electric Utilities
EL,Personal Products
EMN,Diversified Chemicals
EMR,Electrical Components & Equipment
EOG,Oil & Gas Exploration & Production
EQIX,Specialized REITs
EQR,Residential REITs
EQT,Oil & Gas Exploration & Production
ES,Multi-Utilities
ESRX,Health Care Distributors
ESS,Residential REITs
ETFC,Investment Banking & Brokerage
ETN,Electrical Components & Equipment
ETR,Electric Utilities
EVHC,Health Care Services
EW,Health Care Equipment
EXC,Multi-Utilities
EXPD,Air Freight & Logistics
EXPE,Internet & Direct Marketing Retail
EXR,Specialized REITs
F,Automobile Manufacturers
FAST,Building Products
FB,Internet Software & Services
FBHS,Building Products
FCX,Copper
FDX,Air Freight & Logistics
FE,Electric Utilities
FFIV,Communications Equipment
FIS,Internet Software & Services
FISV,Internet Software & Services
FITB,Regional Banks
FL,Apparel Retail
FLIR,Electronic Equipment & Instruments
FLR,Construction & Engineering
FLS,Industrial Machinery
FMC,Fertilizers & Agricultural Chemicals
FOX,Publishing
FOXA,Publishing
FRT,Retail REITs
FTI,Oil & Gas Equipment & Services
FTV,Industrial Machinery
GD,Aerospace & Defense
GE,Industrial Conglomerates
GGP,Retail REITs
GILD,Biotechnology
GIS,Packaged Foods & Meats
GLW,Electronic Components
GM,Automobile Manufacturers
GOOG,Internet Software & Services
GOOGL,Internet Software & Services
GPC,Specialty Stores
GPN,Data Processing & Outsourced Services
GPS,Apparel Retail
GRMN,Consumer Electronics
GS,Investment Banking & Brokerage
GT,Tires & Rubber
GWW,Industrial Machinery
HAL,Oil & Gas Equipment & Services
HAS,Leisure Products
HBAN,Regional Banks
HBI,"Apparel, Accessories & Luxury Goods"
HCA,Health Care Facilities
HCN,Health Care REITs
HCP,Health Care REITs
HD,Home Improvement Retail
HES,Integrated Oil & Gas
HIG,Property & Casualty Insurance
HLT,"Hotels, Resorts & Cruise Lines"
HOG,Motorcycle Manufacturers
HOLX,Health Care Equipment
HON,Industrial Conglomerates
HP,Oil & Gas Drilling
HPE,"Technology Hardware, Storage & Peripherals"
HPQ,"Technology Hardware, Storage & Peripherals"
HRB,Consumer Finance
HRL,Packaged Foods & Meats
HRS,Communications Equipment
HSIC,Health Care Distributors
HST,Hotel & Resort REITs
HSY,Packaged Foods & Meats
HUM,Managed Health Care
IBM,IT Consulting & Other Services
ICE,Financial Exchanges & Data
IDXX,Health Care Equipment
IFF,Specialty Chemicals
ILMN,Life Sciences Tools & Services
INCY,Biotechnology
INFO,Research & Consulting Services
INTC,Semiconductors
INTU,Internet Software & Services
IP,Paper Packaging
IPG,Advertising
IR,Industrial Machinery
IRM,Specialized REITs
ISRG,Health Care Equipment
IT,IT Consulting & Other Services
ITW,Industrial Machinery
IVZ,Asset Management & Custody Banks
JBHT,Trucking
JCI,Building Products
JEC,Construction & Engineering
JNJ,Health Care Equipment
JNPR,Communications Equipment
JPM,Diversified Banks
JWN,Department Stores
K,Packaged Foods & Meats
KEY,Regional Banks
KHC,Packaged Foods & Meats
KIM,Retail REITs
KLAC,Semiconductor Equipment
KMB,Household Products
KMI,Oil & Gas Storage & Transportation
KMX,Specialty Stores
KO,Soft Drinks
KORS,"Apparel, Accessories & Luxury Goods"
KR,Food Retail
KSS,General Merchandise Stores
KSU,Railroads
L,Multi-line Insurance
LB,Apparel Retail
LEG,Home Furnishings
LEN,Homebuilding
LH,Health Care Services
LKQ,Distributors
LLL,Aerospace & Defense
LLY,Pharmaceuticals
LMT,Aerospace & Defense
LNC,Multi-line Insurance
LNT,Electric Utilities
LOW,Home Improvement Retail
LRCX,Semiconductor Equipment
LUK,Multi-Sector Holdings
LUV,Airlines
LVLT,Alternative Carriers
LYB,Specialty Chemicals
M,Department Stores
MA,Internet Software & Services
MAA,Residential REITs
MAC,Retail REITs
MAR,"Hotels, Resorts & Cruise Lines"
MAS,Building Products
MAT,Leisure Products
MCD,Restaurants
MCHP,Semiconductors
MCK,Health Care Distributors
MCO,Financial Exchanges & Data
MDLZ,Packaged Foods & Meats
MDT,Health Care Equipment
MET,Life & Health Insurance
MHK,Home Furnishings
MKC,Packaged Foods & Meats
MLM,Construction Materials
MMC,Insurance Brokers
MMM,Industrial Conglomerates
MNK,Pharmaceuticals
MNST,Soft Drinks
MO,Tobacco
MON,Fertilizers & Agricultural Chemicals
MOS,Fertilizers & Agricultural Chemicals
MPC,Oil & Gas Refining & Marketing
MRK,Pharmaceuticals
MRO,Oil & Gas Exploration & Production
MS,Investment Banking & Brokerage
MSFT,Systems Software
MSI,Communications Equipment
MTB,Regional Banks
MTD,Life Sciences Tools & Services
MU,Semiconductors
MUR,Integrated Oil & Gas
MYL,Pharmaceuticals
NAVI,Consumer Finance
NBL,Oil & Gas Exploration & Production
NDAQ,Financial Exchanges & Data
NEE,Multi-Utilities
NEM,Gold
NFLX,Internet Software & Services
NFX,Oil & Gas Exploration & Production
NI,Multi-Utilities
NKE,"Apparel, Accessories & Luxury Goods"
NLSN,Research & Consulting Services
NOC,Aerospace & Defense
NOV,Oil & Gas Equipment & Services
NRG,Independent Power Producers & Energy Traders
NSC,Railroads
NTAP,Internet Software & Services
NTRS,Asset Management & Custody Banks
NUE,Steel
NVDA,Semiconductors
NWL,Housewares & Specialties
NWS,Publishing
NWSA,Publishing
O,Retail REITs
OKE,Oil & Gas Storage & Transportation
OMC,Advertising
ORCL,Application Software
ORLY,Specialty Stores
OXY,Oil & Gas Exploration & Production
PAYX,Internet Software & Services
PBCT,Thrifts & Mortgage Finance
PCAR,Construction Machinery & Heavy Trucks
PCG,Multi-Utilities
PCLN,Internet & Direct Marketing Retail
PDCO,Health Care Supplies
PEG,Electric Utilities
PEP,Soft Drinks
PFE,Pharmaceuticals
PFG,Life & Health Insurance
PG,Personal Products
PGR,Property & Casualty Insurance
PH,Industrial Machinery
PHM,Homebuilding
PKI,Health Care Equipment
PLD,Industrial REITs
PM,Tobacco
PNC,Regional Banks
PNR,Industrial Machinery
